,lat,long,max_temp,humidity,wind_speed,clouds,country,dt,is_south
poum,-20.2333,164.0167,74.07,72,4.36202442,9,New Caledonia,1635185011,1
mto wa mbu,-3.35,35.85,80.69,39,2.26800415,91,"Tanzania, United Republic of",1635185011,1
visnes,59.3556,5.2242,53.58,82,5.43699625,75,Norway,1635185012,0
waipawa,-41.4122,175.5153,57.04,88,1.64663315,25,New Zealand,1635185012,1
togur,58.3631,82.8265,35.91,76,1.69634283,99,Russian Federation,1635185012,0
stephenville,32.2207,-98.2023,84.67,61,0.0,1,United States of America,1635185012,0
port-gentil,-0.7193,8.7815,77.27,91,3.98920182,100,Gabon,1635185013,1
bontang,0.1333,117.5,77.0,87,0.98176618,44,Indonesia,1635184811,0
jiazi,22.8779,116.067,71.76,73,4.77212928,80,China,1635185013,0
hit,33.6416,42.8251,73.76,26,1.9013952600000001,0,Iraq,1635185013,0
havre,49.5833,0.3333,56.97,82,3.51695986,90,France,1635185014,0
fairbanks,64.8378,-147.7164,28.36,91,0.0,90,United States of America,1635185014,0
port lincoln,-34.7333,135.8667,57.74,79,3.6039518,9,Australia,1635184821,1
kouango,4.9934,19.9619,77.04,84,0.6648669700000001,39,Central African Republic,1635185014,0
port blair,11.6667,92.75,80.1,84,1.99460091,34,India,1635185015,0
sao joao da barra,-21.6403,-41.0511,75.29,77,3.3554034,83,Brazil,1635185015,1
eureka,40.8021,-124.1637,58.24,88,2.22450818,37,United States of America,1635184913,0
hailey,43.5196,-114.3153,42.66,100,3.19384694,90,United States of America,1635185015,0
sabang,5.8933,95.3214,81.41,77,1.74605251,89,Indonesia,1635185016,0
caxito,-8.5785,13.6643,78.84,72,1.6777017,100,Angola,1635185016,1
broken hill,-31.95,141.4333,53.89,30,2.28043157,0,Australia,1635184856,1
muyezerskiy,63.9333,31.65,34.25,100,1.06875812,100,Russian Federation,1635185016,0
tautira,-17.7333,-149.15,78.82,79,0.86370569,88,French Polynesia,1635185017,1
rorvik,64.8621,11.2373,46.51,100,1.92003639,75,Norway,1635185017,0
salumbar,24.1333,74.05,77.16,56,1.16817748,88,India,1635185017,0
brae,60.3964,-1.353,49.91,84,4.01405666,79,United Kingdom of Great Britain and Northern Ireland,1635185017,0
longview,32.5007,-94.7405,86.25,42,0.27961695000000003,20,United States of America,1635184896,0
foso,5.7012,-1.2866,76.44,94,1.21788716,72,Ghana,1635185018,0
flinders,-34.5833,150.8552,56.48,81,1.48507669,24,Australia,1635184748,1
villa altagracia,18.673,-70.171,87.35,53,1.41051217,29,Dominican Republic,1635185018,0
along,28.1667,94.7667,63.37,97,0.5778750300000001,64,India,1635184887,0
ampanihy,-24.7,44.75,74.88,81,2.13751624,1,Madagascar,1635185018,1
beringovskiy,63.05,179.3167,10.72,77,1.60313718,100,Russian Federation,1635185019,0
dzhebariki-khaya,62.2167,135.8,24.42,98,0.75807262,99,Russian Federation,1635185019,0
muros,42.7762,-9.0603,62.24,87,2.2990727,17,Spain,1635184879,0
ufa,54.775,56.0375,33.17,77,4.3309558699999995,99,Russian Federation,1635184819,0
motygino,58.1831,94.7592,43.66,71,4.81562525,100,Russian Federation,1635185019,0
tiznit,29.5833,-9.5,67.32,60,1.7398388,0,Morocco,1635185020,0
aras,42.5617,-2.356,57.72,74,1.28002426,40,Spain,1635185020,0
takaungu,-3.6837,39.8566,78.01,84,2.19343963,88,Kenya,1635185020,1
lingyuan,41.24,119.4011,49.46,76,1.51614524,99,China,1635185020,0
salinopolis,-0.6136,-47.3561,84.13,74,3.75929455,96,Brazil,1635185021,1
saint-augustin,51.226,-58.6502,45.23,47,2.87073402,61,Canada,1635185021,0
mount gambier,-37.8333,140.7667,38.16,93,1.70877025,21,Australia,1635184827,1
paracuru,-3.41,-39.0306,86.02,58,4.44901636,55,Brazil,1635185021,1
goma,-1.6792,29.2228,64.15,86,0.8264234300000001,99,"Congo, Democratic Republic of the",1635184815,1
hosdurga,13.7981,76.2861,71.53,77,1.16817748,44,India,1635185022,0
wamba,8.9333,8.6,79.84,72,0.91341537,26,Nigeria,1635185022,0
baghdad,33.3406,44.4009,73.31,27,0.95691134,0,Iraq,1635184773,0
